uniprot_id,hgnc_symbol,canonical_smiles,concentration_100,concentration_500,concentration_1000,concentration_5000,concentration_10000,concentration_50000,concentration_100000,concentration_1000000,activity_value
P49759,CLK1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,91.35499999999999,,,,,,7.657577319177793
P49760,CLK2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,90.205,,,,,,7.698970004336019
P50750,CDK9,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,6.83,,,,,,4.865373524970911
P51812,RPS6KA3,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,96.27,,,,,,6.735418270761922
P51955,NEK2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,14.01,,,,,,4.920409455474716
P53350,PLK1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,4.58,,,,,,4.889162501464616
P54646,PRKAA2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,46.0,,,,,,,,7.209714835966758
P54760,EPHB4,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,76.4,,,,,,4.300515012401535
Q02750,MAP2K1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,88.64,,,,,,6.989742457001698
Q02763,TEK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,21.17,,,,,,5.690497585033297
Q05397,PTK2,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,92.29,,,,,,5.800000874803203
Q06187,BTK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,91.3,,46.29,,,,,,4.698970004336019
Q08881,ITK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,95.25,,,,,,7.667157733005649
Q13131,PRKAA1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,50.0,,93.66666666666667,,,,,,6.800670523819488
Q13464,ROCK1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,8.8,,,,,,5.5976216747774235
Q14680,MELK,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,87.475,,,,,,6.414539270491499
Q15418,RPS6KA1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,95.49,,,,,,6.881735273910521
Q16539,MAPK14,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,,-1.3,,,,,,4.698970004336019
